defect,repair,inservice,cartype,manufacturer
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPAIRED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPAIRED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPAIRED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPAIRED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPAIRED,"[25,30]",R62,Kawasaki Rail
LEAKING,REPAIRED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
H/W DAMAGED,REPLACED,"[25,30]",R62,Kawasaki Rail
OTHERS,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,"[25,30]",R62,Kawasaki Rail
