defect,repair,inservice,cartype,manufacturer
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
OTHERS,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
OTHERS,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPAIRED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
OTHERS,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
DIRTY,CLEANED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
H/W DAMAGED,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPAIRED,35,R62,Kawasaki Rail
OTHERS,REPLACED,35,R62,Kawasaki Rail
OTHERS,REPAIRED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPAIRED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
LEAKING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
MALFUNCTIONING,REPLACED,35,R62,Kawasaki Rail
