defect,repair,inservice,cartype,manufacturer
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
LEAKING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
H/W DAMAGED,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
H/W DAMAGED,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
H/W DAMAGED,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
LEAKING,REPLACED,30,R68A,Kawasaki Rail
OTHERS,REPLACED,30,R68A,Kawasaki Rail
LEAKING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
OTHERS,REPLACED,30,R68A,Kawasaki Rail
OTHERS,REPLACED,30,R68A,Kawasaki Rail
OTHERS,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
LEAKING,REPLACED,30,R68A,Kawasaki Rail
OTHERS,REPAIRED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
H/W DAMAGED,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
DIRTY,REPLACED,30,R68A,Kawasaki Rail
LEAKING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPAIRED,30,R68A,Kawasaki Rail
MALFUNCTIONING,REPLACED,30,R68A,Kawasaki Rail
MALFUNCTIONING,RESET,30,R68A,Kawasaki Rail
